payment_id,customer_id,amount,timestamp,payment_status,failure_reason,attempt_number,payment_method,customer_lifetime_value,customer_total_payments,customer_success_rate,customer_failure_rate,average_payment,days_since_last_success,recovery_probability_ground_truth,recoverable,baseline_action,optimal_action,recovered,amount_recovered,split
PAY200040,C100614,8676.08,2026-03-09 16:16:29,failed,expired_card,1,upi,190402.59,25,0.9079,0.0921,8389.14,18,0.5386,1,retry,send_payment_link,1,8676.08,train
PAY200041,C101916,7232.16,2026-03-04 14:30:57,failed,authentication_failure,1,card,63067.23,13,0.9071,0.0929,5348.24,39,0.606,0,retry,send_payment_link,1,7232.16,test
PAY200042,C103868,2478.04,2026-05-27 05:44:50,failed,authentication_failure,2,card,55253.82,17,0.8723,0.1277,3726.06,85,0.4694,0,retry,send_payment_link,1,2478.04,train
PAY200043,C100513,6023.86,2026-03-11 09:32:42,failed,insufficient_funds,1,netbanking,50489.11,7,0.9164,0.0836,7870.31,20,0.7422,1,retry,schedule_retry,1,6023.86,validation
PAY200044,C100964,8405.26,2026-05-11 16:31:35,failed,network_error,1,card,189423.29,37,0.5309,0.4691,9642.54,19,0.6509,1,retry,retry,1,8405.26,test
PAY200045,C103438,2654.11,2026-02-27 05:50:21,failed,insufficient_funds,2,wallet,7555.95,4,0.7749,0.2251,2437.79,70,0.6162,0,retry,send_payment_link,0,0.0,train
PAY200046,C100156,14268.84,2026-01-19 21:34:12,failed,network_error,2,card,170072.33,12,0.9579,0.0421,14795.57,47,0.8043,1,retry,schedule_retry,1,14268.84,train
PAY200047,C100390,24659.98,2026-05-13 12:34:22,failed,insufficient_funds,3,card,219205.5,15,0.9553,0.0447,15297.04,42,0.6676,0,stop,stop,0,0.0,validation
PAY200048,C103559,3744.25,2026-03-11 19:59:22,failed,expired_card,2,upi,16337.43,7,0.8953,0.1047,2606.75,60,0.3863,0,retry,send_payment_link,0,0.0,train
PAY200049,C101001,4274.06,2026-02-11 05:25:55,failed,authentication_failure,1,upi,126055.08,25,0.9134,0.0866,5520.05,7,0.7011,1,retry,retry,0,0.0,train
PAY200050,C101231,28282.61,2026-01-15 22:40:47,failed,insufficient_funds,1,card,142867.99,16,0.8854,0.1146,10085.05,38,0.8165,0,retry,schedule_retry,0,0.0,train
PAY200051,C100059,5810.5,2026-07-03 22:53:46,failed,bank_decline,2,card,5128.64,1,0.8568,0.1432,5985.59,6,0.4673,0,retry,send_payment_link,1,5810.5,validation
PAY200052,C101625,126725.95,2026-02-03 15:37:10,failed,expired_card,1,netbanking,5296179.23,66,0.995,0.005,80648.38,50,0.4035,0,retry,escalate,0,0.0,train
PAY200053,C103971,3382.7,2026-02-15 13:58:58,failed,expired_card,2,upi,8647.97,3,0.7714,0.2286,3736.96,52,0.3163,0,retry,send_payment_link,0,0.0,train
PAY200054,C103941,2606.66,2026-01-05 02:43:10,failed,payment_method_invalid,3,wallet,4370.48,3,0.6955,0.3045,2094.71,50,0.0431,0,stop,stop,0,0.0,train
PAY200055,C102565,4451.25,2026-04-14 12:16:27,failed,insufficient_funds,2,netbanking,40919.76,14,0.9156,0.0844,3192.24,18,0.6724,1,retry,retry,0,0.0,test
PAY200056,C102700,747.81,2026-02-08 00:12:26,failed,insufficient_funds,1,wallet,6758.8,6,0.8898,0.1102,1266.03,47,0.771,1,retry,schedule_retry,1,747.81,train
PAY200057,C102574,11059.26,2026-07-17 08:11:33,failed,authentication_failure,1,upi,67953.33,12,0.9437,0.0563,6000.52,57,0.7122,1,retry,retry,1,11059.26,train
PAY200058,C102779,3986.15,2026-03-30 22:09:57,failed,insufficient_funds,1,card,17981.38,4,0.8579,0.1421,5239.79,25,0.7429,1,retry,schedule_retry,1,3986.15,validation
PAY200059,C102075,4153.28,2026-06-23 10:29:30,failed,authentication_failure,2,upi,104243.88,24,0.9255,0.0745,4693.05,78,0.4856,0,retry,send_payment_link,0,0.0,train
PAY200060,C100823,9943.19,2026-07-09 23:03:47,failed,insufficient_funds,2,upi,214844.26,21,0.8325,0.1675,12288.92,47,0.6794,1,retry,retry,0,0.0,train
PAY200061,C103472,3297.81,2026-04-20 04:26:08,failed,network_error,1,netbanking,125973.49,33,0.9491,0.0509,4022.03,125,0.8791,1,retry,schedule_retry,1,3297.81,test
PAY200062,C103517,6736.72,2026-01-06 06:13:23,failed,bank_decline,1,card,19185.47,3,0.7913,0.2087,8081.79,31,0.4962,1,retry,send_payment_link,0,0.0,train
PAY200063,C100576,4815.19,2026-04-15 16:00:47,failed,expired_card,1,card,71880.14,15,0.6553,0.3447,7313.12,3,0.3276,0,retry,send_payment_link,0,0.0,train
PAY200064,C100378,6397.34,2026-05-18 22:52:44,failed,insufficient_funds,1,upi,141313.77,30,0.9611,0.0389,4901.05,54,0.7539,1,retry,schedule_retry,0,0.0,train
PAY200065,C103171,11145.03,2026-01-18 05:53:11,failed,authentication_failure,2,card,72156.67,7,0.963,0.037,10704.42,45,0.584,1,retry,send_payment_link,0,0.0,train
PAY200066,C100190,6799.49,2026-03-23 08:00:57,failed,authentication_failure,1,upi,121209.6,30,0.5661,0.4339,7136.7,46,0.4447,0,retry,stop,0,0.0,train
PAY200067,C103228,20323.47,2026-07-21 12:14:07,failed,authentication_failure,1,card,146232.66,12,0.8557,0.1443,14241.29,47,0.6708,1,retry,retry,1,20323.47,train
PAY200068,C103927,183147.26,2026-01-29 23:41:13,failed,payment_method_invalid,3,card,6227592.83,64,0.9859,0.0141,98695.7,9,0.02,0,stop,stop,0,0.0,train
PAY200069,C100144,2881.74,2026-01-20 19:41:07,failed,authentication_failure,1,netbanking,146286.29,34,0.8648,0.1352,4974.93,5,0.5978,1,retry,send_payment_link,1,2881.74,train
PAY200070,C103195,9239.8,2026-03-07 11:14:09,failed,expired_card,1,upi,82623.11,18,0.8769,0.1231,5234.52,15,0.49,0,retry,send_payment_link,0,0.0,train
PAY200071,C100530,10266.62,2026-05-24 13:41:41,failed,bank_decline,2,wallet,95981.65,10,0.9273,0.0727,10350.22,43,0.461,1,retry,send_payment_link,0,0.0,test
PAY200072,C101160,9752.85,2026-02-20 10:42:48,failed,authentication_failure,1,upi,35349.59,3,0.753,0.247,15648.69,36,0.5755,1,retry,send_payment_link,1,9752.85,train
PAY200073,C102188,2943.27,2026-06-02 00:14:55,failed,payment_method_invalid,1,card,28332.47,12,0.9268,0.0732,2547.4,42,0.3752,0,retry,send_payment_link,0,0.0,train
PAY200074,C102720,2667.28,2026-07-20 23:59:53,failed,expired_card,2,upi,60123.68,25,0.8655,0.1345,2778.69,38,0.392,1,retry,send_payment_link,1,2667.28,train
PAY200075,C100360,25074.08,2026-07-13 14:46:22,failed,insufficient_funds,3,card,368644.69,32,0.6209,0.3791,18553.26,29,0.4051,0,stop,stop,0,0.0,train
PAY200076,C100437,6886.71,2026-05-12 09:15:35,failed,insufficient_funds,3,upi,133191.62,23,0.8848,0.1152,6545.03,31,0.6128,1,stop,stop,0,0.0,train
PAY200077,C101129,11026.35,2026-01-16 15:41:25,failed,authentication_failure,1,wallet,49449.79,8,0.6352,0.3648,9731.88,23,0.408,1,retry,stop,0,0.0,train
PAY200078,C102726,50385.69,2026-03-13 07:49:29,failed,payment_method_invalid,4,upi,3607820.51,62,0.9917,0.0083,58676.11,65,0.1162,0,stop,stop,0,0.0,train
PAY200079,C101614,18182.76,2026-07-29 22:16:00,failed,insufficient_funds,2,netbanking,1095652.1,46,0.914,0.086,26060.61,64,0.7968,1,retry,schedule_retry,1,18182.76,train
PAY200080,C101102,33554.32,2026-03-05 17:03:02,failed,payment_method_invalid,1,card,386289.38,15,0.995,0.005,25882.04,77,0.4062,1,retry,send_payment_link,1,33554.32,train
PAY200081,C100628,4757.16,2026-02-19 02:23:57,failed,insufficient_funds,2,card,131091.01,24,0.9555,0.0445,5716.67,43,0.7164,0,retry,retry,1,4757.16,validation
PAY200082,C103873,6915.15,2026-03-02 08:48:52,failed,network_error,1,upi,17130.5,4,0.713,0.287,6006.72,19,0.8002,1,retry,schedule_retry,1,6915.15,train
PAY200083,C102816,22107.61,2026-01-19 10:42:21,failed,payment_method_invalid,1,netbanking,323627.84,29,0.8491,0.1509,13142.79,49,0.2969,0,retry,send_payment_link,1,22107.61,train
PAY200084,C103943,3088.8,2026-06-15 07:32:18,failed,payment_method_invalid,1,card,88209.73,32,0.8439,0.1561,3266.47,61,0.3172,1,retry,send_payment_link,1,3088.8,train
PAY200085,C101980,82665.87,2026-01-15 14:13:32,failed,bank_decline,2,upi,3878169.15,63,0.9514,0.0486,64701.12,17,0.5419,1,retry,escalate,1,82665.87,test
PAY200086,C103274,10597.75,2026-05-01 14:14:57,failed,payment_method_invalid,4,card,133864.68,14,0.8926,0.1074,10711.84,31,0.02,0,stop,stop,0,0.0,test
PAY200087,C102559,5568.33,2026-02-17 08:42:56,failed,authentication_failure,2,upi,24140.37,5,0.7632,0.2368,6326.35,77,0.5028,0,retry,send_payment_link,0,0.0,train
PAY200088,C102100,18818.15,2026-05-31 22:06:40,failed,authentication_failure,2,netbanking,2199838.77,68,0.995,0.005,32513.14,57,0.6068,1,retry,send_payment_link,1,18818.15,validation
PAY200089,C101897,4072.95,2026-02-06 08:27:01,failed,authentication_failure,3,upi,50970.69,15,0.8229,0.1771,4129.5,73,0.4165,0,stop,stop,0,0.0,train
PAY200090,C102000,49609.78,2026-04-02 14:15:02,failed,network_error,3,upi,2305024.74,48,0.9139,0.0861,52544.95,21,0.8059,1,stop,schedule_retry,1,49609.78,train
PAY200091,C101649,14375.61,2026-04-11 13:24:02,failed,insufficient_funds,3,upi,1023889.38,58,0.9054,0.0946,19498.01,9,0.6665,1,stop,stop,0,0.0,train
PAY200092,C102559,3103.23,2026-03-20 21:53:42,failed,insufficient_funds,2,upi,24140.37,5,0.7632,0.2368,6326.35,77,0.6821,1,retry,retry,1,3103.23,train
PAY200093,C101969,3525.47,2026-04-16 03:20:32,failed,insufficient_funds,1,card,195106.2,31,0.995,0.005,6325.38,57,0.8184,0,retry,schedule_retry,1,3525.47,validation
PAY200094,C103882,9417.84,2026-02-02 16:22:37,failed,insufficient_funds,1,netbanking,83224.26,20,0.8253,0.1747,5041.83,78,0.6451,1,retry,retry,0,0.0,train
PAY200095,C103598,28328.94,2026-02-05 05:25:58,failed,insufficient_funds,1,netbanking,499566.03,28,0.6382,0.3618,27956.52,4,0.5754,0,retry,send_payment_link,1,28328.94,validation
PAY200096,C101857,3101.59,2026-07-04 08:26:35,failed,network_error,2,card,65156.53,15,0.8472,0.1528,5127.35,68,0.7753,1,retry,schedule_retry,1,3101.59,validation
PAY200097,C101584,8690.06,2026-01-19 14:01:59,failed,bank_decline,1,upi,167705.5,17,0.9195,0.0805,10728.69,15,0.5882,1,retry,send_payment_link,0,0.0,train
PAY200098,C103035,11893.4,2026-02-02 23:25:59,failed,insufficient_funds,2,card,103301.53,9,0.9685,0.0315,11851.27,80,0.6388,1,retry,retry,1,11893.4,train
PAY200099,C102569,14566.18,2026-05-21 00:52:09,failed,network_error,1,upi,211632.87,27,0.6297,0.3703,12448.58,48,0.707,1,retry,retry,1,14566.18,train
PAY200100,C100927,24135.44,2026-03-31 22:39:07,failed,insufficient_funds,1,upi,732201.67,30,0.932,0.068,26188.23,41,0.9488,1,retry,schedule_retry,1,24135.44,validation
PAY200101,C103335,21031.42,2026-03-27 08:26:36,failed,insufficient_funds,1,card,295761.35,29,0.9838,0.0162,10366.64,7,0.7966,1,retry,schedule_retry,1,21031.42,test
PAY200102,C102729,102002.98,2026-05-01 02:54:57,failed,expired_card,2,card,1095452.46,24,0.9229,0.0771,49455.65,135,0.3037,1,retry,escalate,0,0.0,train
PAY200103,C102484,20217.28,2026-01-20 21:29:20,failed,payment_method_invalid,1,card,800605.77,51,0.8879,0.1121,17681.06,58,0.3938,1,retry,send_payment_link,1,20217.28,train
PAY200104,C103128,14811.39,2026-02-02 14:37:32,failed,expired_card,2,netbanking,301717.75,19,0.9432,0.0568,16837.04,18,0.3478,0,retry,send_payment_link,1,14811.39,train
PAY200105,C100904,5803.49,2026-07-23 00:46:10,failed,expired_card,2,upi,78647.44,22,0.7043,0.2957,5076.15,11,0.2077,1,retry,send_payment_link,1,5803.49,train
PAY200106,C103199,2999.23,2026-06-19 01:01:36,failed,payment_method_invalid,1,card,48529.2,15,0.6775,0.3225,4775.38,6,0.1983,0,retry,send_payment_link,1,2999.23,train
PAY200107,C100487,7348.91,2026-05-31 21:45:50,failed,expired_card,2,netbanking,113173.22,24,0.9104,0.0896,5179.64,80,0.3837,0,retry,send_payment_link,0,0.0,test
PAY200108,C103173,28874.6,2026-02-18 15:15:36,failed,insufficient_funds,2,netbanking,532435.13,28,0.6994,0.3006,27190.26,18,0.4843,1,retry,send_payment_link,1,28874.6,train
PAY200109,C102363,23981.0,2026-02-10 16:46:27,failed,insufficient_funds,1,upi,1997029.11,58,0.9411,0.0589,36587.96,77,0.8519,1,retry,schedule_retry,1,23981.0,train
PAY200110,C102327,8029.71,2026-06-10 13:07:14,failed,expired_card,3,card,31091.95,4,0.789,0.211,9851.67,135,0.2373,0,stop,stop,0,0.0,test
PAY200111,C102909,5950.83,2026-02-01 02:45:32,failed,expired_card,3,upi,116017.99,25,0.9532,0.0468,4868.67,28,0.3364,0,stop,stop,0,0.0,train
PAY200112,C101242,2961.33,2026-02-14 20:22:20,failed,authentication_failure,2,card,129117.75,27,0.9016,0.0984,5303.98,34,0.5576,0,retry,send_payment_link,1,2961.33,test
PAY200113,C103074,33539.61,2026-01-21 17:39:08,failed,insufficient_funds,1,card,1259649.21,31,0.8862,0.1138,45853.74,106,0.828,1,retry,schedule_retry,1,33539.61,test
PAY200114,C100102,4994.8,2026-01-21 22:23:21,failed,payment_method_invalid,2,wallet,81899.61,14,0.995,0.005,5879.37,72,0.3141,0,retry,send_payment_link,1,4994.8,test
PAY200115,C102775,3785.03,2026-05-17 10:30:39,failed,bank_decline,1,card,83438.67,33,0.9398,0.0602,2690.5,12,0.5963,1,retry,send_payment_link,0,0.0,train
PAY200116,C103177,12744.07,2026-02-02 19:16:02,failed,payment_method_invalid,1,card,49494.72,8,0.8846,0.1154,6993.9,24,0.3525,0,retry,send_payment_link,0,0.0,train
PAY200117,C100013,74052.94,2026-05-01 05:47:20,failed,bank_decline,2,card,1226168.95,19,0.995,0.005,64859.51,59,0.5324,1,retry,escalate,1,74052.94,validation
PAY200118,C102778,1585.45,2026-06-13 14:47:40,failed,insufficient_funds,1,card,27302.81,6,0.9496,0.0504,4791.92,101,0.7152,1,retry,retry,1,1585.45,train
PAY200119,C103095,2437.93,2026-07-03 21:47:13,failed,network_error,2,card,2979.39,1,0.8267,0.1733,3603.91,10,0.7731,0,retry,schedule_retry,1,2437.93,validation
PAY200120,C102088,34161.47,2026-05-07 13:39:56,failed,insufficient_funds,2,upi,93502.08,11,0.8457,0.1543,10050.5,4,0.5983,1,retry,send_payment_link,1,34161.47,train
PAY200121,C102418,1673.64,2026-04-05 23:05:19,failed,insufficient_funds,1,upi,2528.42,2,0.7981,0.2019,1583.93,37,0.7197,0,retry,retry,0,0.0,train
PAY200122,C100237,19713.83,2026-01-14 12:08:36,failed,payment_method_invalid,1,card,1034540.26,22,0.958,0.042,49085.35,83,0.4405,0,retry,send_payment_link,1,19713.83,validation
PAY200123,C103952,19614.57,2026-03-26 18:26:37,failed,network_error,1,netbanking,137896.66,25,0.6452,0.3548,8548.9,24,0.7618,1,retry,schedule_retry,1,19614.57,train
PAY200124,C103866,13919.67,2026-07-02 15:03:43,failed,insufficient_funds,2,upi,208509.6,11,0.8532,0.1468,22218.06,53,0.6271,1,retry,retry,1,13919.67,train
PAY200125,C103058,7002.16,2026-02-23 23:26:05,failed,network_error,2,wallet,64305.63,12,0.9354,0.0646,5728.77,32,0.8532,0,retry,schedule_retry,1,7002.16,train
PAY200126,C100060,4749.72,2026-01-21 13:48:43,failed,bank_decline,1,upi,77646.85,11,0.995,0.005,7094.28,75,0.6051,1,retry,send_payment_link,1,4749.72,train
PAY200127,C101720,8401.73,2026-04-14 13:20:50,failed,insufficient_funds,1,netbanking,12594.64,4,0.81,0.19,3887.15,7,0.7249,1,retry,schedule_retry,1,8401.73,train
PAY200128,C103271,6132.08,2026-03-30 22:11:03,failed,insufficient_funds,1,card,122866.29,13,0.9387,0.0613,10068.85,74,0.8095,0,retry,schedule_retry,1,6132.08,train
PAY200129,C102704,4790.65,2026-05-29 07:37:09,failed,authentication_failure,1,upi,129203.25,24,0.9156,0.0844,5879.8,68,0.6426,1,retry,retry,1,4790.65,train
PAY200130,C103618,8804.34,2026-04-13 13:58:56,failed,insufficient_funds,1,card,147886.56,27,0.8981,0.1019,6098.83,15,0.7347,1,retry,schedule_retry,0,0.0,train
PAY200131,C102463,3139.91,2026-05-17 07:12:18,failed,payment_method_invalid,2,card,74779.19,21,0.9345,0.0655,3810.6,73,0.235,0,retry,send_payment_link,0,0.0,test
PAY200132,C102855,14674.74,2026-05-11 20:48:30,failed,insufficient_funds,1,upi,287815.52,34,0.6839,0.3161,12377.81,113,0.5497,0,retry,send_payment_link,1,14674.74,validation
PAY200133,C101349,2959.27,2026-05-14 07:19:12,failed,expired_card,1,upi,4840.64,3,0.7292,0.2708,2212.67,27,0.4464,0,retry,send_payment_link,0,0.0,train
PAY200134,C103251,9344.79,2026-05-20 15:22:34,failed,expired_card,2,upi,188946.19,24,0.8964,0.1036,8783.07,32,0.4292,0,retry,send_payment_link,0,0.0,train
PAY200135,C102134,2040.99,2026-04-25 14:06:03,failed,insufficient_funds,2,netbanking,80893.98,27,0.995,0.005,3011.13,56,0.7266,0,retry,schedule_retry,1,2040.99,train
PAY200136,C103200,25708.16,2026-05-30 02:44:10,failed,expired_card,2,upi,762666.93,23,0.9793,0.0207,33860.95,18,0.5072,0,retry,send_payment_link,0,0.0,validation
PAY200137,C100817,5484.16,2026-02-26 17:14:19,failed,network_error,2,upi,130361.06,21,0.9898,0.0102,6271.8,53,0.8359,1,retry,schedule_retry,1,5484.16,train
PAY200138,C101072,7131.84,2026-01-22 23:47:05,failed,network_error,1,upi,158495.33,28,0.9748,0.0252,5806.59,44,0.9467,1,retry,schedule_retry,1,7131.84,validation
PAY200139,C100351,2748.36,2026-03-30 06:21:34,failed,authentication_failure,3,upi,8164.97,5,0.7894,0.2106,2068.68,80,0.3565,1,stop,stop,0,0.0,validation
PAY200140,C102700,1360.26,2026-04-23 20:47:43,failed,payment_method_invalid,2,card,6758.8,6,0.8898,0.1102,1266.03,47,0.2544,0,retry,send_payment_link,0,0.0,train
PAY200141,C102932,17217.31,2026-07-14 10:34:36,failed,insufficient_funds,1,card,172964.18,14,0.9175,0.0825,13465.86,22,0.7787,1,retry,schedule_retry,0,0.0,train
PAY200142,C101134,5045.43,2026-04-22 10:11:18,failed,expired_card,1,card,202825.04,38,0.606,0.394,8807.09,50,0.3092,0,retry,send_payment_link,1,5045.43,train
PAY200143,C101536,34535.92,2026-05-16 22:27:39,failed,insufficient_funds,2,upi,1757026.09,61,0.9256,0.0744,31118.54,28,0.8162,1,retry,schedule_retry,0,0.0,train
PAY200144,C102277,5984.06,2026-02-26 14:39:22,failed,insufficient_funds,1,netbanking,143676.29,24,0.9779,0.0221,6121.52,11,0.8673,1,retry,schedule_retry,1,5984.06,train
PAY200145,C103022,7223.94,2026-05-18 19:40:49,failed,insufficient_funds,1,card,124574.48,22,0.9322,0.0678,6074.33,50,0.7496,1,retry,schedule_retry,1,7223.94,train
PAY200146,C101211,36878.37,2026-06-09 21:39:53,failed,expired_card,2,card,736293.69,27,0.9622,0.0378,28341.58,1,0.5173,0,retry,send_payment_link,1,36878.37,validation
PAY200147,C101953,5456.5,2026-04-10 07:26:05,failed,expired_card,1,card,35206.39,9,0.4962,0.5038,7882.87,3,0.2599,0,retry,send_payment_link,1,5456.5,test
PAY200148,C100742,18061.32,2026-04-30 02:17:42,failed,bank_decline,1,card,763724.49,41,0.9924,0.0076,18770.23,47,0.6696,0,retry,retry,1,18061.32,test
PAY200149,C103239,29947.68,2026-05-26 06:00:44,failed,payment_method_invalid,1,upi,296984.18,17,0.9306,0.0694,18772.35,37,0.3903,0,retry,send_payment_link,1,29947.68,train
