customer_id,segment,customer_lifetime_value,customer_total_payments,customer_success_rate,customer_failure_rate,average_payment,days_since_last_success
C100157,regular,86367.47,15,0.9026,0.0974,6379.4,34
C100158,high_value,366031.55,17,0.9557,0.0443,22529.61,30
C100159,high_value,1462423.73,46,0.8831,0.1169,35998.78,48
C100160,new,12468.19,5,0.7734,0.2266,3224.26,13
C100161,at_risk,161982.19,32,0.6476,0.3524,7816.33,42
C100162,regular,151134.86,25,0.8499,0.1501,7113.39,89
C100163,new,8202.44,3,0.8024,0.1976,3407.3,20
C100164,regular,99196.76,10,0.914,0.086,10852.97,28
C100165,regular,109322.51,25,0.881,0.119,4963.39,74
C100166,high_value,1650735.81,43,0.995,0.005,38582.12,34
C100167,high_value,4777912.36,56,0.8609,0.1391,99105.61,58
C100168,regular,63506.05,22,0.9256,0.0744,3118.67,44
C100169,at_risk,227681.13,26,0.6929,0.3071,12638.6,47
C100170,regular,116350.89,14,0.9748,0.0252,8525.65,19
C100171,regular,37681.96,7,0.9275,0.0725,5803.66,19
C100172,regular,77977.26,26,0.8964,0.1036,3345.65,53
C100173,at_risk,91013.32,28,0.5914,0.4086,5496.34,10
C100174,new,36196.14,5,0.7664,0.2336,9446.15,29
C100175,new,1970.4,1,0.8045,0.1955,2449.31,48
C100176,regular,216880.85,29,0.8737,0.1263,8560.0,28
C100177,at_risk,176522.45,31,0.6541,0.3459,8705.72,30
C100178,high_value,2226246.89,64,0.995,0.005,34959.91,60
C100179,high_value,240757.64,24,0.9572,0.0428,10479.95,80
C100180,high_value,3427672.55,67,0.8995,0.1005,56875.11,136
C100181,high_value,1592072.68,66,0.8995,0.1005,26817.87,76
C100182,regular,364356.99,27,0.9449,0.0551,14280.93,23
C100183,regular,43317.04,18,0.9073,0.0927,2652.34,16
C100184,high_value,4332694.01,48,0.995,0.005,90718.05,24
C100185,regular,242519.26,24,0.886,0.114,11405.33,48
C100186,regular,27459.98,18,0.9474,0.0526,1610.29,26
C100187,new,2287.47,2,0.7729,0.2271,1479.84,20
C100188,high_value,2748014.71,44,0.927,0.073,67370.41,87
C100189,regular,74432.58,16,0.892,0.108,5215.55,25
C100190,at_risk,121209.6,30,0.5661,0.4339,7136.7,46
C100191,regular,266966.61,15,0.995,0.005,17887.21,45
C100192,new,12777.45,4,0.7757,0.2243,4118.24,6
C100193,high_value,539313.14,24,0.989,0.011,22721.24,83
C100194,new,26623.39,5,0.7558,0.2442,7044.71,12
C100195,new,6485.19,2,0.7327,0.2673,4425.77,9
C100196,regular,58567.91,12,0.8995,0.1005,5426.12,23
C100197,high_value,1065591.37,24,0.995,0.005,44622.75,17
C100198,new,12430.79,5,0.7566,0.2434,3286.1,75
C100199,regular,202211.83,34,0.8708,0.1292,6829.61,40
C100200,high_value,334805.49,16,0.967,0.033,21639.54,21
C100201,at_risk,47720.74,24,0.6425,0.3575,3094.94,8
C100202,regular,243240.83,25,0.9839,0.0161,9888.56,44
C100203,new,1086.6,1,0.7959,0.2041,1365.21,27
C100204,new,8178.05,3,0.809,0.191,3369.7,48
C100205,regular,26213.56,11,0.9424,0.0576,2528.79,40
C100206,new,11360.74,2,0.7281,0.2719,7801.48,17
C100207,regular,181693.56,31,0.8667,0.1333,6762.92,52
C100208,new,3442.39,3,0.7312,0.2688,1569.23,11
C100209,regular,57239.74,10,0.8501,0.1499,6733.66,26
C100210,regular,393800.42,23,0.9458,0.0542,18103.02,29
C100211,regular,30406.62,10,0.9231,0.0769,3294.14,32
C100212,new,11695.8,5,0.7836,0.2164,2985.23,10
C100213,high_value,1266865.15,50,0.8433,0.1567,30044.43,72
C100214,regular,83892.12,16,0.995,0.005,5269.61,17
C100215,high_value,1520706.4,38,0.9198,0.0802,43509.92,7
C100216,new,9493.49,4,0.8723,0.1277,2720.72,41
C100217,new,6358.39,4,0.7148,0.2852,2223.88,107
C100218,at_risk,131837.99,26,0.5834,0.4166,8691.0,5
C100219,regular,79078.18,25,0.8109,0.1891,3900.9,14
C100220,regular,115893.81,34,0.9263,0.0737,3679.86,60
C100221,regular,353515.32,34,0.8604,0.1396,12083.9,33
C100222,regular,176199.52,31,0.8617,0.1383,6595.98,11
C100223,at_risk,73764.94,22,0.5582,0.4418,6006.32,29
C100224,regular,54301.75,12,0.945,0.055,4788.61,91
C100225,at_risk,71284.93,16,0.652,0.348,6833.13,78
C100226,new,7085.34,2,0.8615,0.1385,4112.01,152
C100227,regular,34385.02,8,0.8791,0.1209,4889.0,54
C100228,regular,140360.64,32,0.9198,0.0802,4768.48,22
C100229,new,16854.06,5,0.722,0.278,4668.84,59
C100230,new,10641.2,3,0.7649,0.2351,4637.15,19
C100231,regular,142115.99,32,0.8867,0.1133,5008.87,30
C100232,at_risk,194847.59,30,0.6409,0.3591,10134.06,19
C100233,regular,43387.54,14,0.9558,0.0442,3242.54,54
C100234,at_risk,425541.81,35,0.6646,0.3354,18294.27,50
C100235,high_value,1275499.22,25,0.9221,0.0779,55331.78,20
C100236,regular,32302.49,6,0.9549,0.0451,5637.84,69
C100237,high_value,1034540.26,22,0.958,0.042,49085.35,83
C100238,new,5678.94,4,0.7654,0.2346,1854.91,22
C100239,new,3592.94,4,0.7481,0.2519,1200.66,44
C100240,high_value,526048.73,18,0.9348,0.0652,31263.2,87
C100241,high_value,5849380.23,50,0.995,0.005,117575.48,41
C100242,regular,118281.68,24,0.9238,0.0762,5334.73,26
C100243,regular,31460.8,8,0.9179,0.0821,4284.54,31
C100244,regular,44506.0,7,0.8982,0.1018,7078.61,22
C100245,high_value,1269866.85,52,0.995,0.005,24543.23,70
C100246,regular,237098.33,33,0.9687,0.0313,7416.75,64
C100247,regular,83995.2,20,0.8776,0.1224,4785.77,120
C100248,regular,48512.4,9,0.8977,0.1023,6004.62,18
C100249,regular,460419.18,24,0.9004,0.0996,21307.2,21
C100250,regular,305975.82,16,0.9166,0.0834,20864.32,9
C100251,high_value,563863.96,49,0.9284,0.0716,12394.3,48
C100252,regular,71074.74,21,0.9297,0.0703,3640.25,13
C100253,regular,122685.83,32,0.9753,0.0247,3930.85,116
C100254,regular,37060.84,12,0.8509,0.1491,3629.63,17
C100255,high_value,263086.2,21,0.9092,0.0908,13778.55,5
C100256,high_value,1076407.64,17,0.9383,0.0617,67484.75,12
C100257,new,12624.33,4,0.7603,0.2397,4150.86,41
C100258,new,8765.89,4,0.8699,0.1301,2519.14,31
C100259,regular,266472.83,24,0.9551,0.0449,11625.28,16
C100260,new,28527.39,3,0.8225,0.1775,11561.33,30
C100261,high_value,545377.92,20,0.9481,0.0519,28761.52,20
C100262,regular,140504.32,30,0.8971,0.1029,5220.59,48
C100263,new,34057.79,4,0.7147,0.2853,11913.76,13
C100264,at_risk,87548.15,29,0.6552,0.3448,4607.76,37
C100265,new,51194.09,5,0.8021,0.1979,12765.05,38
C100266,regular,129196.84,18,0.9679,0.0321,7415.88,32
C100267,new,2927.47,2,0.7705,0.2295,1899.69,44
C100268,new,11761.02,3,0.7736,0.2264,5067.53,30
C100269,new,4855.85,1,0.7877,0.2123,6164.96,53
C100270,new,9398.54,2,0.8201,0.1799,5729.87,32
C100271,new,7937.53,4,0.7138,0.2862,2779.87,72
C100272,new,26144.56,4,0.8131,0.1869,8038.32,36
C100273,regular,602549.62,34,0.9091,0.0909,19494.54,69
C100274,regular,105890.4,19,0.8624,0.1376,6462.7,21
C100275,regular,148646.83,19,0.8162,0.1838,9585.38,14
C100276,regular,242484.68,31,0.9039,0.0961,8654.1,53
C100277,regular,110075.83,24,0.9751,0.0249,4703.39,32
C100278,high_value,1824421.36,56,0.995,0.005,32742.67,3
C100279,high_value,1194928.31,55,0.976,0.024,22260.4,18
C100280,new,6079.91,2,0.8683,0.1317,3501.08,41
C100281,new,8879.12,3,0.7781,0.2219,3803.92,30
C100282,regular,343807.4,31,0.9529,0.0471,11638.76,17
C100283,regular,101473.15,28,0.8897,0.1103,4073.35,32
C100284,regular,313169.74,26,0.8868,0.1132,13581.87,36
C100285,regular,53799.57,13,0.8795,0.1205,4705.37,7
C100286,new,4426.42,5,0.6873,0.3127,1288.1,68
C100287,regular,82230.52,17,0.9679,0.0321,4997.41,78
C100288,regular,97569.71,31,0.8811,0.1189,3572.03,18
C100289,new,3959.27,1,0.7439,0.2561,5322.06,105
C100290,high_value,657520.89,31,0.9069,0.0931,23387.72,30
C100291,new,2277.72,1,0.7708,0.2292,2954.99,20
C100292,at_risk,143857.16,32,0.6994,0.3006,6428.1,19
C100293,new,8277.93,2,0.8742,0.1258,4734.47,100
C100294,high_value,310068.62,18,0.8853,0.1147,19458.71,13
C100295,at_risk,99922.99,34,0.604,0.396,4865.35,36
C100296,at_risk,45465.77,17,0.5735,0.4265,4663.77,40
C100297,high_value,1237753.96,32,0.995,0.005,38874.18,53
C100298,high_value,1632223.56,59,0.9729,0.0271,28435.5,34
C100299,regular,79254.03,23,0.8814,0.1186,3909.7,96
C100300,high_value,807600.0,22,0.9633,0.0367,38108.99,107
C100301,new,12372.67,4,0.7585,0.2415,4077.92,82
C100302,regular,70712.88,14,0.9826,0.0174,5140.15,42
C100303,regular,23926.54,15,0.9346,0.0654,1706.7,61
C100304,high_value,2076470.06,58,0.9901,0.0099,36157.65,26
C100305,regular,126461.42,28,0.79,0.21,5717.14,70
C100306,regular,49042.77,11,0.907,0.093,4915.61,21
C100307,regular,89884.03,9,0.995,0.005,10037.3,15
C100308,regular,222706.02,28,0.9697,0.0303,8202.52,15
C100309,new,5486.98,2,0.6969,0.3031,3936.81,48
C100310,regular,55242.24,14,0.8959,0.1041,4404.39,88
C100311,regular,121054.27,28,0.8559,0.1441,5051.07,93
C100312,regular,118415.43,21,0.987,0.013,5713.1,4
C100313,regular,460878.96,34,0.921,0.079,14718.1,63
C100314,regular,76023.23,21,0.8754,0.1246,4135.2,15
C100315,regular,123630.59,31,0.9115,0.0885,4375.12,134
C100316,regular,83090.32,30,0.7927,0.2073,3494.12,11
C100317,regular,29729.26,12,0.8612,0.1388,2876.81,7
C100318,regular,238532.26,34,0.9116,0.0884,7695.64,64
C100319,at_risk,25038.53,7,0.6581,0.3419,5435.61,24
C100320,at_risk,60005.11,16,0.5326,0.4674,7040.99,23
C100321,regular,175194.53,27,0.8928,0.1072,7267.4,18
C100322,regular,113177.58,9,0.9554,0.0446,13161.83,20
C100323,regular,58413.36,6,0.8447,0.1553,11525.67,66
C100324,high_value,921227.65,40,0.9703,0.0297,23735.32,15
C100325,regular,288331.89,13,0.913,0.087,24293.68,29
C100326,high_value,294395.9,22,0.995,0.005,13448.88,14
C100327,regular,33689.13,6,0.8996,0.1004,6241.2,35
C100328,regular,81309.84,16,0.9023,0.0977,5632.26,23
C100329,regular,102528.05,34,0.9485,0.0515,3179.35,46
C100330,high_value,761774.82,66,0.9003,0.0997,12820.01,50
C100331,regular,163051.42,19,0.9001,0.0999,9534.53,89
C100332,regular,37027.14,6,0.8895,0.1105,6937.88,129
C100333,high_value,6500933.72,43,0.9537,0.0463,158516.04,19
C100334,new,13898.93,5,0.8182,0.1818,3397.53,54
C100335,regular,173895.59,20,0.9349,0.0651,9299.85,23
C100336,new,21777.46,5,0.7463,0.2537,5836.04,49
C100337,high_value,3332852.25,51,0.9662,0.0338,67639.54,47
C100338,new,7815.61,3,0.8471,0.1529,3075.55,46
C100339,at_risk,211446.33,31,0.5826,0.4174,11707.83,57
C100340,new,2138.09,2,0.7865,0.2135,1359.18,37
C100341,at_risk,198757.23,33,0.6113,0.3887,9852.56,25
C100342,high_value,1200208.23,20,0.9572,0.0428,62696.01,36
C100343,regular,34876.24,12,0.8366,0.1634,3473.92,123
C100344,high_value,720899.08,35,0.995,0.005,20700.62,21
C100345,high_value,1367108.41,49,0.9252,0.0748,30157.32,26
C100346,at_risk,58987.26,22,0.6662,0.3338,4024.84,18
C100347,regular,208692.48,30,0.882,0.118,7886.75,5
C100348,regular,51335.0,8,0.8819,0.1181,7276.59,31
C100349,new,4228.17,1,0.8346,0.1654,5066.16,51
C100350,regular,187568.45,28,0.9547,0.0453,7016.55,16
C100351,new,8164.97,5,0.7894,0.2106,2068.68,80
C100352,regular,75869.54,18,0.9443,0.0557,4463.82,45
C100353,regular,67289.73,6,0.897,0.103,12502.53,66
C100354,regular,456515.49,25,0.9096,0.0904,20074.92,42
C100355,regular,59025.9,19,0.8802,0.1198,3529.35,29
C100356,high_value,953136.68,50,0.995,0.005,19158.53,25
C100357,high_value,243729.32,18,0.9288,0.0712,14578.56,40
C100358,regular,264227.46,28,0.9768,0.0232,9660.51,43
C100359,regular,27506.62,23,0.8958,0.1042,1335.07,22
C100360,at_risk,368644.69,32,0.6209,0.3791,18553.26,29
C100361,new,6024.36,5,0.8141,0.1859,1479.93,108
C100362,new,4219.99,3,0.7811,0.2189,1800.93,36
C100363,new,9676.92,3,0.7666,0.2334,4207.75,39
C100364,regular,238876.27,28,0.9086,0.0914,9388.99,91
C100365,regular,41954.94,19,0.9502,0.0498,2323.83,43
C100366,high_value,968924.62,48,0.9302,0.0698,21701.3,33
C100367,regular,26423.58,6,0.9043,0.0957,4869.88,65
C100368,regular,25869.41,9,0.9105,0.0895,3157.05,56
C100369,high_value,4085671.24,66,0.995,0.005,62215.19,40
C100370,high_value,2640007.7,58,0.9555,0.0445,47636.88,42
C100371,regular,108743.39,19,0.9914,0.0086,5773.14,27
C100372,regular,158264.92,17,0.903,0.097,10310.25,13
C100373,regular,61034.66,29,0.8993,0.1007,2340.3,50
C100374,new,10154.76,4,0.7723,0.2277,3287.17,9
C100375,new,2522.76,4,0.7208,0.2792,875.04,13
C100376,at_risk,59320.56,7,0.5733,0.4267,14780.51,28
C100377,regular,80350.54,17,0.8861,0.1139,5333.93,26
C100378,regular,141313.77,30,0.9611,0.0389,4901.05,54
C100379,high_value,438513.91,26,0.9585,0.0415,17595.99,64
C100380,regular,151518.2,11,0.8882,0.1118,15508.36,118
C100381,at_risk,81186.79,27,0.6752,0.3248,4453.41,7
C100382,high_value,1631774.39,65,0.995,0.005,25230.37,46
C100383,regular,135422.84,17,0.9665,0.0335,8242.23,45
C100384,regular,80058.49,27,0.8716,0.1284,3401.9,41
C100385,at_risk,296686.17,28,0.5977,0.4023,17727.44,50
C100386,regular,44763.7,9,0.9916,0.0084,5015.79,58
C100387,at_risk,137319.3,22,0.6309,0.3691,9894.23,82
C100388,new,2094.6,1,0.768,0.232,2727.5,42
C100389,high_value,2337307.5,52,0.9923,0.0077,45295.84,98
C100390,regular,219205.5,15,0.9553,0.0447,15297.04,42
C100391,new,22580.18,4,0.7543,0.2457,7483.97,24
C100392,regular,239133.57,27,0.9199,0.0801,9628.27,39
C100393,regular,85863.39,23,0.9517,0.0483,3922.67,17
C100394,new,9498.29,5,0.7278,0.2722,2610.18,18
C100395,regular,143081.95,28,0.9106,0.0894,5612.03,30
C100396,high_value,358906.55,18,0.9099,0.0901,21914.82,27
C100397,regular,98894.39,20,0.8657,0.1343,5711.56,80
C100398,regular,128323.98,30,0.8847,0.1153,4835.15,30
C100399,regular,73272.24,31,0.9315,0.0685,2537.52,15
C100400,regular,136334.0,34,0.8955,0.1045,4477.7,34
C100401,at_risk,128085.9,30,0.5908,0.4092,7226.43,42
C100402,high_value,663549.85,22,0.9623,0.0377,31342.34,37
C100403,new,9157.51,4,0.7284,0.2716,3143.08,14
C100404,at_risk,142003.05,22,0.6393,0.3607,10096.55,86
C100405,high_value,2420158.24,65,0.995,0.005,37420.31,6
C100406,regular,113846.53,9,0.9064,0.0936,13955.33,37
C100407,high_value,919600.33,26,0.9509,0.0491,37196.3,14
C100408,new,16480.44,3,0.7968,0.2032,6894.39,68
C100409,at_risk,95668.24,23,0.5287,0.4713,7867.11,46
C100410,regular,113245.26,23,0.9342,0.0658,5270.75,42
C100411,regular,54994.03,9,0.995,0.005,6141.15,28
C100412,new,13638.26,3,0.7745,0.2255,5869.86,81
C100413,high_value,658713.05,20,0.9546,0.0454,34500.62,28
C100414,new,11062.85,2,0.8135,0.1865,6799.85,104
C100415,regular,82922.73,12,0.984,0.016,7022.3,17
C100416,new,1902.48,4,0.8239,0.1761,577.3,35
C100417,high_value,704777.62,39,0.863,0.137,20940.06,56
C100418,new,17395.74,2,0.8054,0.1946,10800.07,49
C100419,at_risk,218100.61,26,0.7357,0.2643,11401.47,33
C100420,regular,289120.18,14,0.938,0.062,22016.23,7
C100421,new,7707.36,2,0.728,0.272,5293.2,38
C100422,new,27482.16,2,0.7927,0.2073,17334.91,26
C100423,new,3040.98,2,0.7224,0.2776,2104.86,21
C100424,regular,151351.25,24,0.9655,0.0345,6531.8,59
C100425,high_value,873665.53,43,0.917,0.083,22157.17,6
C100426,regular,195038.67,18,0.9133,0.0867,11863.57,33
C100427,high_value,681618.57,46,0.9214,0.0786,16081.83,2
C100428,new,1680.64,2,0.7554,0.2446,1112.4,49
C100429,high_value,645016.14,51,0.995,0.005,12710.93,59
C100430,at_risk,180616.8,32,0.6247,0.3753,9035.82,38
C100431,high_value,1816756.04,69,0.9348,0.0652,28165.15,24
C100432,regular,124484.43,31,0.8585,0.1415,4677.68,80
C100433,high_value,2305018.54,56,0.8758,0.1242,46999.65,84
C100434,new,2544.84,1,0.7237,0.2763,3516.46,43
C100435,regular,72197.14,14,0.915,0.085,5635.76,92
C100436,new,9646.69,4,0.8241,0.1759,2926.39,17
C100437,regular,133191.62,23,0.8848,0.1152,6545.03,31
C100438,high_value,223546.23,16,0.995,0.005,14041.85,3
C100439,regular,104354.88,28,0.8777,0.1223,4246.22,13
C100440,high_value,628747.75,19,0.9493,0.0507,34859.74,12
C100441,new,11745.71,3,0.7314,0.2686,5352.93,49
C100442,high_value,689372.81,15,0.995,0.005,46189.13,14
C100443,new,30774.09,5,0.8744,0.1256,7039.0,5
C100444,regular,164129.1,34,0.8307,0.1693,5811.03,20
C100445,regular,123174.59,13,0.8944,0.1056,10593.39,22
C100446,at_risk,56534.7,13,0.6769,0.3231,6424.47,11
C100447,regular,95477.12,27,0.8449,0.1551,4185.4,36
C100448,new,2663.74,1,0.8055,0.1945,3306.93,41
